local;parcela;idade;cod;d;h;hi;v
Piratini;12;9,83;50;19,576058;19,7;0,985;0,274429399
Piratini;12;9,83;51;7,480282325;14,9;0,745;0,028479432
Piratini;12;9,83;52;16,07464925;18,2;0,91;0,15605627
Piratini;12;9,83;53;9,230986699;15,7;0,785;0,056087302
Piratini;12;9,83;54;9,390141642;11,8;0,59;0,048226453
Piratini;12;9,83;55;5,411268065;12;0,6;0,014947896
Piratini;12;9,83;56;8,435211984;12;0,6;0,029146172
Piratini;12;9,83;58;10,18591636;18,5;0,925;0,081482544
Piratini;12;9,83;59;18,93943823;18,8;0,94;0,248715498
Piratini;12;9,83;61;20,37183272;20,4;1,02;0,288399376
Piratini;10;9,83;62;13,20986028;18,3;0,915;0,121069148
Piratini;10;9,83;63;13,68732511;17,9;0,895;0,126245122
Piratini;10;9,83;64;17,50704374;18,1;0,905;0,200451804
Piratini;10;9,83;65;15,91549431;18,1;0,905;0,182378984
Piratini;10;9,83;66;13,84648005;18;0,9;0,134630758
Piratini;10;9,83;67;17,50704374;17,3;0,865;0,176263986
Piratini;10;9,83;68;14,48309982;18,7;0,935;0,160417935
Piratini;10;9,83;69;8,116902098;11,9;0,595;0,033391271
Piratini;10;9,83;70;10,3450713;15;0,75;0,064385058
Piratini;10;9,83;71;17,18873385;18,2;0,91;0,201902232
Piratini;10;9,83;72;11,4591559;13,6;0,68;0,071599843
Piratini;10;9,83;73;17,50704374;19,6;0,98;0,21004198
Piratini;10;9,83;74;16,07464925;19,3;0,965;0,171124026
Piratini;10;9,83;75;12,5732405;17,8;0,89;0,113424414
Piratini;10;9,83;76;16,55211408;18,4;0,92;0,202323894
Piratini;10;9,83;77;17,82535363;18,4;0,92;0,216372113
Piratini;11;9,83;78;6,047887837;11,6;0,58;0,018315293
Piratini;11;9,83;79;6,366197724;12,1;0,605;0,022548512
Piratini;11;9,83;80;12,41408556;16,2;0,81;0,086582875
Piratini;11;9,83;81;14,64225476;17,4;0,87;0,132114251
Piratini;11;9,83;82;10,82253613;16,2;0,81;0,072898623
Piratini;11;9,83;84;13,36901522;16,6;0,83;0,105827361
Piratini;11;9,83;85;11,4591559;15,5;0,775;0,076689927
Piratini;11;9,83;86;12,41408556;17,3;0,865;0,112628544
Piratini;11;9,83;87;17,82535363;17,8;0,89;0,189377009
Piratini;11;9,83;88;15,43802948;16,7;0,835;0,1497608
Piratini;11;9,83;89;6,68450761;11,7;0,585;0,020788069
Piratini;11;9,83;90;15,59718442;16,4;0,82;0,139575466
Piratini;9;9,83;91;15,59718442;18,7;0,935;0,179686283
Piratini;9;9,83;92;10,50422624;14,9;0,745;0,062617045
Piratini;9;9,83;93;14,96056465;18,2;0,91;0,15099515
Piratini;9;9,83;94;14,80140971;18;0,9;0,151175057
Piratini;9;9,83;95;9,071831756;14,3;0,715;0,04402463
Piratini;9;9,83;96;7,798592212;13,2;0,66;0,033643041
Piratini;9;9,83;97;16,07464925;17,9;0,895;0,157335733
