"IM" "TCI" "RN"
5482 1.629 82.17
4046 1.423 109.4
5749 1.517 88.8
5495 1.356 111.36
6043 1.331 87.94
5173 1.244 105.5
5679 1.181 85.28
4576 1.046 97.6
5605 1.315 82.06
4265 1.091 96.39
5565 1.217 86.49
5474 1.091 106.01
5610 1.177 82.62
6345 1.3 100.01
5309 1.135 78.3
4330 1.38 91.7
4804 1.434 78.34
5034 1.354 104.02
4872 1.306 87.11
5614 1.314 108.26
5071 1.209 85.77
6015 1.452 101.05
4646 1.156 80.91
4630 1.499 97.02
3824 1.74 75.88
4725 1.626 101.71
3651 2.004 83.65
5221 1.467 103.8
3907 1.957 82.8
5976 1.441 101.3
4044 1.959 80.1
5230 1.421 99.9
3155 1.971 79.1
6007 1.388 106.9
3406 2.015 87.59
7328 1.34 108.92
3730 2.024 87.19
6914 1.305 106.01
3623 2.027 85.94
6049 1.283 104.01
3094 2.036 84.55
7087 1.279 109.66
3016 2.219 92.47
8023 1.075 115.3
3132 2.201 95.23
11814 0.957 116.45
3925 2.131 94.44
12065 0.942 113.92
3352 2.013 90.69
13651 0.955 116.09
2760 2.023 99.48
11917 0.951 115.67
3661 1.991 102.87
12030 0.97 114.93
4270 1.924 101.15
10738 0.98 111.63
3565 1.832 97.65
12478 0.995 118.06
3610 1.792 106.21
14235 1.012 122.9
3987 1.914 103.45
15837 1.03 120.69
3888 1.789 101.1
13150 1.049 116.9
3516 1.692 97.72
15405 1.067 123.85
3349 1.657 105.78
16930 1.086 126.37
3776 1.643 105.84
15873 1.106 122.55
3963 1.607 98.87
13415 1.126 118.11
3548 1.557 95.01
14591 1.147 125.74
