Meio Hormonio Erecip Drecip Brotos
A X1 1 1 4 
A X1 1 2 5 
A X1 1 3 2 
A X1 2 4 1 
A X1 2 5 2
A X1 2 6 5
A X1 3 7 2
A X1 3 8 2
A X1 3 9 NA
A X2 4 10 3
A X2 4 11 5
A X2 4 12 3
A X2 5 13 2
A X2 5 14 2
A X2 5 15 1
A X2 6 16 2
A X2 6 17 2
A X2 6 18 3
A X2 7 19 1
A X2 7 20 4
A X2 7 21 4
A X2 8 22 2
A X2 8 23 4
A X2 8 24 NA
A X2 9 25 1
A X2 9 26 NA
A X2 9 27 NA
A X2 10 28 2
A X2 10 29 NA
A X2 10 30 NA
B X1 11 31 4
B X1 11 32 1
B X1 11 33 4
B X1 12 34 5
B X1 12 35 4
B X1 12 36 5
B X1 13 37 5
B X1 13 38 4
B X1 13 39 3
B X1 14 40 3
B X1 14 41 4
B X1 14 42 4
B X1 15 43 2
B X1 15 44 3
B X1 15 45 2
B X1 16 46 1
B X1 16 47 0
B X1 16 48 1
B X1 17 49 0
B X1 17 50 4
B X1 17 51 2
B X1 18 52 6
B X1 18 53 2
B X1 18 54 2
B X1 19 55 3
B X1 19 56 3
B X1 19 57 NA
B X1 20 58 1
B X1 20 59 5
B X1 20 60 NA
B X2 21 61 2
B X2 21 62 2
B X2 21 63 1
B X2 22 64 2
B X2 22 65 4
B X2 22 66 4
B X2 23 67 2
B X2 23 68 3
B X2 23 69 0
B X2 24 70 0
B X2 24 71 0
B X2 24 72 4
B X2 25 73 12
B X2 25 74 0
B X2 25 75 4
B X2 26 76 1 
B X2 26 77 0 
B X2 26 78 4 
B X2 27 79 0 
B X2 27 80 8 
B X2 27 81 2
B X2 28 82 2
B X2 28 83 4
B X2 28 84 NA
B X2 29 85 3
B X2 29 86 1
B X2 29 87 NA
B X2 30 88 10
B X2 30 89 NA
B X2 30 90 NA
C X1 31 91 0
C X1 31 92 2
C X1 31 93 0
C X1 32 94 1
C X1 32 95 1
C X1 32 96 3
C X1 33 97 5
C X1 33 98 3
C X1 33 99 3
C X1 34 100 3
C X1 34 101 2
C X1 34 102 1
C X1 35 103 2
C X1 35 104 2
C X1 35 105 2
C X1 36 106 0
C X1 36 107 2
C X1 36 108 2
C X1 37 109 2
C X1 37 110 2
C X1 37 111 2
C X1 38 112 2
C X1 38 113 0
C X1 38 114 2
C X2 39 115 2
C X2 39 116 2
C X2 39 117 3
C X2 40 118 11
C X2 40 119 6
C X2 40 120 5
C X2 41 121 5
C X2 41 122 3
C X2 41 123 4
C X2 42 124 6
C X2 42 125 4
C X2 42 126 NA
C X2 43 127 4
C X2 43 128 4
C X2 43 129 NA
C X2 44 130 3
C X2 44 131 3
C X2 44 132 NA
