y x1 x2 x3 x4 x5 x6
105.000 350.000 9839 14.95 10.00 16 13
90.000 255.631 10606 15.00 7.50 15 11
14.000 31.000 10455 15.00 7.00 11 9
11.700 34.840 8958 10.00 7.00 22 10
46.000 153.434 11741 25.00 10.00 20 12
11.217 26.621 9378 15.00 7.66 18 8
12.000 18.000 10433 15.00 7.50 12 8
6.428 9.324 10167 15.00 7.00 17 7
20.100 32.000 9218 10.00 5.60 10 8
8.500 28.000 10519 15.00 6.50 6 6
1.600 8.000 10025 17.50 7.50 8 6
1.100 5.000 9714 15.00 8.95 9 9
4.355 15.204 9294 10.00 7.00 7 7
78.910 97.889 9784 24.95 9.49 12 7
19.600 93.000 8173 20.00 7.50 9 7
1.000 3.000 8967 9.95 10.00 13 6
1.650 2.600 10133 25.00 7.55 6 5
13.400 18.284 9361 15.50 6.30 11 5
18.708 55.000 9085 15.00 7.00 16 6
1.352 1.700 10067 20.00 5.60 6 6
170.000 270.000 8908 15.00 8.75 15 5
15.388 46.540 9632 15.00 8.73 9 6
6.555 20.417 8995 5.95 5.95 10 6
40.000 120.000 7787 25.00 6.50 10 5
19.900 46.390 8890 15.00 7.50 9 7
2.450 14.500 8041 9.95 6.25 6 4
3.762 9.500 8605 20.00 6.50 6 5
24.882 81.980 8639 18.00 7.50 8 4
21.187 39.700 8781 20.00 6.00 9 4
3.487 4.113 8551 10.00 6.85 11 4
3.000 8.000 9306 10.00 7.95 9 6
42.100 99.750 8346 9.95 5.73 8 5
20.350 33.379 8803 15.00 7.50 8 4
23.150 35.500 8942 17.50 6.50 8 5
9.866 34.775 8591 15.00 8.25 11 4
42.608 64.840 9163 10.00 6.00 11 6
10.371 30.556 7683 20.00 7.50 8 6
5.164 16.500 7924 14.95 6.95 8 5
31.150 70.515 8454 9.95 7.00 10 4
18.350 42.040 8429 20.00 7.00 6 4
